Ticker,Date,Weight
SNDK,8/3/2026,0.74%
BE,8/3/2026,0.79%
LITE,8/3/2026,1.06%
WDC,8/3/2026,1.07%
MU,8/3/2026,1.04%
RKLB,8/3/2026,1.02%
STX,8/3/2026,1.12%
GH,8/3/2026,1.92%
CIEN,8/3/2026,1.26%
TSEM,8/3/2026,0.93%
AMD,8/3/2026,1.36%
GEV,8/3/2026,1.67%
TER,8/3/2026,1.22%
DELL,8/3/2026,1.39%
RVMD,8/3/2026,2.61%
FIX,8/3/2026,1.53%
COHR,8/3/2026,1.03%
INTC,8/3/2026,1.15%
APP,8/3/2026,1.54%
LRCX,8/3/2026,1.21%
MKSI,8/3/2026,1.27%
NBIS,8/3/2026,0.86%
STRL,8/3/2026,0.87%
CRS,8/3/2026,2.14%
TPR,8/3/2026,3.33%
ECHO,8/3/2026,1.66%
ATI,8/3/2026,2.37%
AMAT,8/3/2026,1.33%
FLEX,8/3/2026,1.33%
MRVL,8/3/2026,1.06%
GLW,8/3/2026,1.03%
HPE,8/3/2026,1.79%
VRT,8/3/2026,1.29%
ROIV,8/3/2026,2.96%
VIK,8/3/2026,3.43%
TWLO,8/3/2026,2.02%
JBL,8/3/2026,1.96%
UAL,8/3/2026,2.60%
HWM,8/3/2026,3.29%
NVT,8/3/2026,1.79%
CAT,8/3/2026,2.04%
IBKR,8/3/2026,2.42%
UI,8/3/2026,2.41%
KLAC,8/3/2026,1.26%
LSCC,8/3/2026,1.52%
VLO,8/3/2026,2.90%
FTI,8/3/2026,2.88%
ALAB,8/3/2026,0.96%
AS,8/3/2026,2.86%
PWR,8/3/2026,2.19%
ILMN,8/3/2026,2.64%
APH,8/3/2026,2.23%
MTSI,8/3/2026,1.30%
FN,8/3/2026,1.26%
AVGO,8/3/2026,2.41%
SNX,8/3/2026,2.82%
CSCO,8/3/2026,1.86%
SNDK,8/6/2026,0.68%
BE,8/6/2026,0.85%
LITE,8/6/2026,1.11%
MU,8/6/2026,1.07%
WDC,8/6/2026,0.86%
RKLB,8/6/2026,1.11%
STX,8/6/2026,1.11%
GH,8/6/2026,1.99%
CIEN,8/6/2026,1.29%
TSEM,8/6/2026,0.93%
RVMD,8/6/2026,2.66%
GEV,8/6/2026,1.77%
COHR,8/6/2026,1.08%
AMD,8/6/2026,1.28%
TER,8/6/2026,1.21%
FIX,8/6/2026,1.58%
DELL,8/6/2026,1.34%
INTC,8/6/2026,1.21%
ATI,8/6/2026,2.39%
LRCX,8/6/2026,1.22%
STRL,8/6/2026,0.94%
NBIS,8/6/2026,0.85%
CRS,8/6/2026,2.22%
MKSI,8/6/2026,1.21%
TPR,8/6/2026,3.41%
ECHO,8/6/2026,1.65%
APP,8/6/2026,1.12%
GLW,8/6/2026,1.10%
AMAT,8/6/2026,1.35%
FLEX,8/6/2026,1.31%
MRVL,8/6/2026,1.09%
VRT,8/6/2026,1.37%
HPE,8/6/2026,1.77%
ROIV,8/6/2026,2.84%
JBL,8/6/2026,2.03%
VIK,8/6/2026,3.48%
HWM,8/6/2026,3.27%
NVT,8/6/2026,1.84%
TWLO,8/6/2026,1.96%
UAL,8/6/2026,2.78%
KLAC,8/6/2026,1.30%
UI,8/6/2026,2.50%
IBKR,8/6/2026,2.48%
MTSI,8/6/2026,1.37%
CAT,8/6/2026,2.08%
APH,8/6/2026,2.36%
LSCC,8/6/2026,1.40%
FTI,8/6/2026,2.91%
AS,8/6/2026,2.97%
VLO,8/6/2026,2.74%
FN,8/6/2026,1.32%
PWR,8/6/2026,2.22%
ALAB,8/6/2026,0.90%
AVGO,8/6/2026,2.47%
ANET,8/6/2026,1.83%
CSCO,8/6/2026,3.08%
ILMN,8/6/2026,1.74%
