Ticker,Date,Weight
SNDK,7/10/2026,0.93%
DELL,7/10/2026,1.56%
MU,7/10/2026,1.13%
STX,7/10/2026,1.21%
RVMD,7/10/2026,2.67%
WDC,7/10/2026,1.09%
INTC,7/10/2026,1.13%
AMD,7/10/2026,1.59%
FTNT,7/10/2026,2.61%
TRGP,7/10/2026,3.82%
FFIV,7/10/2026,3.33%
VIRT,7/10/2026,2.71%
FLEX,7/10/2026,1.36%
MRVL,7/10/2026,0.96%
SNX,7/10/2026,2.52%
STRL,7/10/2026,1.13%
CSCO,7/10/2026,3.12%
CSX,7/10/2026,5.57%
ATI,7/10/2026,2.60%
LITE,7/10/2026,1.10%
CIEN,7/10/2026,1.35%
RPRX,7/10/2026,4.20%
CNC,7/10/2026,3.13%
CRS,7/10/2026,2.60%
HPE,7/10/2026,1.76%
FTI,7/10/2026,3.37%
MOG.A,7/10/2026,2.95%
TTMI,7/10/2026,1.06%
KEYS,7/10/2026,2.31%
BPOP,7/10/2026,5.17%
NUE,7/10/2026,3.16%
TXN,7/10/2026,2.13%
FIX,7/10/2026,1.66%
MPC,7/10/2026,3.37%
R,7/10/2026,3.73%
GWW,7/10/2026,4.72%
JBHT,7/10/2026,3.25%
AMAT,7/10/2026,1.40%
OVV,7/10/2026,3.33%
CAT,7/10/2026,2.41%
VLO,7/10/2026,0.80%
SNDK,7/16/2026,0.82%
DELL,7/16/2026,1.39%
MU,7/16/2026,1.09%
RVMD,7/16/2026,2.82%
STX,7/16/2026,1.11%
FTNT,7/16/2026,2.63%
INTC,7/16/2026,1.12%
WDC,7/16/2026,1.00%
AMD,7/16/2026,1.49%
TRGP,7/16/2026,4.02%
SNX,7/16/2026,2.60%
FFIV,7/16/2026,3.28%
CRS,7/16/2026,2.72%
RPRX,7/16/2026,4.44%
CSX,7/16/2026,5.70%
MRVL,7/16/2026,0.90%
ATI,7/16/2026,2.64%
FLEX,7/16/2026,1.31%
MPC,7/16/2026,3.54%
HPE,7/16/2026,1.72%
STRL,7/16/2026,1.13%
VIRT,7/16/2026,2.41%
BPOP,7/16/2026,5.40%
NUE,7/16/2026,3.43%
CNC,7/16/2026,3.00%
CSCO,7/16/2026,2.85%
DINO,7/16/2026,3.36%
FTI,7/16/2026,3.32%
MOG.A,7/16/2026,2.82%
LITE,7/16/2026,1.03%
DDOG,7/16/2026,2.07%
GWW,7/16/2026,4.82%
KEYS,7/16/2026,2.29%
VLO,7/16/2026,3.00%
CIEN,7/16/2026,1.24%
R,7/16/2026,3.70%
JAZZ,7/16/2026,3.69%
OVV,7/16/2026,3.48%
TTMI,7/16/2026,0.62%
SNDK,7/20/2026,0.74%
DELL,7/20/2026,1.29%
MU,7/20/2026,1.08%
RVMD,7/20/2026,2.76%
STX,7/20/2026,1.11%
FTNT,7/20/2026,2.62%
TRGP,7/20/2026,4.19%
WDC,7/20/2026,0.99%
INTC,7/20/2026,1.09%
AMD,7/20/2026,1.44%
MPC,7/20/2026,3.70%
RPRX,7/20/2026,4.38%
CRS,7/20/2026,2.60%
SNX,7/20/2026,2.45%
CSX,7/20/2026,5.60%
MRVL,7/20/2026,0.91%
STRL,7/20/2026,1.18%
FFIV,7/20/2026,3.02%
HPE,7/20/2026,1.66%
FLEX,7/20/2026,1.30%
ATI,7/20/2026,2.49%
CSCO,7/20/2026,2.89%
NUE,7/20/2026,3.47%
VLO,7/20/2026,3.10%
FTI,7/20/2026,3.47%
DDOG,7/20/2026,2.02%
LITE,7/20/2026,1.07%
EQIX,7/20/2026,3.94%
CNC,7/20/2026,2.82%
ROIV,7/20/2026,3.11%
GWW,7/20/2026,4.73%
IRM,7/20/2026,3.13%
KEYS,7/20/2026,2.29%
PANW,7/20/2026,2.35%
FIX,7/20/2026,1.69%
MKSI,7/20/2026,1.34%
TXN,7/20/2026,2.09%
VG,7/20/2026,1.94%
CIEN,7/20/2026,1.18%
PWR,7/20/2026,2.36%
ADM,7/20/2026,4.23%
JBHT,7/20/2026,0.18%
