Ticker,Date,Weight
BNY,8/3/2026,4.40%
MPC,8/3/2026,3.50%
VIK,8/3/2026,3.20%
TPR,8/3/2026,3.10%
CASY,8/3/2026,3.10%
CSCO,8/3/2026,3.10%
HWM,8/3/2026,3.10%
ROIV,8/3/2026,3.00%
RL,8/3/2026,3.00%
ILMN,8/3/2026,2.90%
FTI,8/3/2026,2.90%
VLO,8/3/2026,2.90%
AS,8/3/2026,2.70%
SNX,8/3/2026,2.60%
RVMD,8/3/2026,2.60%
IBKR,8/3/2026,2.40%
UI,8/3/2026,2.30%
ATI,8/3/2026,2.20%
PWR,8/3/2026,2.00%
CRS,8/3/2026,2.00%
GH,8/3/2026,2.00%
CAT,8/3/2026,2.00%
TWLO,8/3/2026,1.90%
NVT,8/3/2026,1.70%
HPE,8/3/2026,1.70%
GEV,8/3/2026,1.60%
MPWR,8/3/2026,1.50%
MTZ,8/3/2026,1.50%
LSCC,8/3/2026,1.40%
FIX,8/3/2026,1.40%
DELL,8/3/2026,1.30%
AMD,8/3/2026,1.30%
FLEX,8/3/2026,1.20%
AMAT,8/3/2026,1.20%
MTSI,8/3/2026,1.20%
LRCX,8/3/2026,1.20%
INTC,8/3/2026,1.10%
CIEN,8/3/2026,1.10%
KLAC,8/3/2026,1.10%
TER,8/3/2026,1.10%
MKSI,8/3/2026,1.10%
STX,8/3/2026,1.10%
VRT,8/3/2026,1.10%
MU,8/3/2026,1.00%
WDC,8/3/2026,1.00%
STRL,8/3/2026,1.00%
RKLB,8/3/2026,0.90%
LITE,8/3/2026,0.90%
MRVL,8/3/2026,0.90%
GLW,8/3/2026,0.90%
TSEM,8/3/2026,0.90%
NBIS,8/3/2026,0.80%
COHR,8/3/2026,0.80%
SNDK,8/3/2026,0.75%
BE,8/3/2026,0.75%
ALAB,8/3/2026,0.60%
SNDK,8/13/2026,0.91%
BE,8/13/2026,0.91%
LITE,8/13/2026,1.15%
MU,8/13/2026,1.26%
WDC,8/13/2026,1.00%
RKLB,8/13/2026,1.17%
STX,8/13/2026,1.24%
GH,8/13/2026,2.06%
TSEM,8/13/2026,1.13%
CIEN,8/13/2026,1.42%
RVMD,8/13/2026,2.88%
TER,8/13/2026,1.38%
AMD,8/13/2026,1.48%
COHR,8/13/2026,1.01%
NBIS,8/13/2026,0.98%
GEV,8/13/2026,1.97%
INTC,8/13/2026,1.37%
FIX,8/13/2026,1.71%
LRCX,8/13/2026,1.49%
ATI,8/13/2026,2.37%
STRL,8/13/2026,1.08%
MKSI,8/13/2026,1.36%
DELL,8/13/2026,1.50%
TWLO,8/13/2026,2.02%
AMAT,8/13/2026,1.56%
HPE,8/13/2026,1.95%
MRVL,8/13/2026,1.23%
CRS,8/13/2026,2.05%
GLW,8/13/2026,1.25%
FLEX,8/13/2026,1.48%
VRT,8/13/2026,1.56%
ROIV,8/13/2026,2.96%
NVT,8/13/2026,2.05%
TPR,8/13/2026,2.14%
KLAC,8/13/2026,1.54%
MTSI,8/13/2026,1.57%
HWM,8/13/2026,3.23%
IBKR,8/13/2026,2.75%
VLO,8/13/2026,3.01%
UI,8/13/2026,2.73%
FN,8/13/2026,1.43%
CAT,8/13/2026,2.28%
JBL,8/13/2026,2.26%
FTI,8/13/2026,3.12%
ANET,8/13/2026,2.02%
LSCC,8/13/2026,1.54%
MPC,8/13/2026,3.23%
VIK,8/13/2026,3.37%
NTRA,8/13/2026,2.34%
PWR,8/13/2026,2.33%
ALAB,8/13/2026,0.97%
ILMN,8/13/2026,2.56%
KEYS,8/13/2026,2.71%
MPWR,8/13/2026,1.67%
MRNA,8/13/2026,0.26%
